Volume,Page,Panels
AGOT01,3,6
AGOT01,4,5
AGOT01,5,5
AGOT01,6,1
AGOT01,7,5
AGOT01,8,5
AGOT01,9,5
AGOT01,10,2
AGOT01,11,4
AGOT01,12,5
AGOT01,13,5
AGOT01,14,3
AGOT01,15,5
AGOT01,16,4
AGOT01,17,5
AGOT01,18,6
AGOT01,19,2
AGOT01,20,4
AGOT01,21,4
AGOT01,22,4
AGOT01,23,5
AGOT01,24,5
AGOT01,25,5
AGOT01,26,4
AGOT01,27,5
AGOT01,28,5
AGOT01,29,4
AGOT01,30,4
AGOT01,31,3
AGOT02,3,1
AGOT02,4,5
AGOT02,5,4
AGOT02,6,4
AGOT02,7,5
AGOT02,8,5
AGOT02,9,5
AGOT02,10,4
AGOT02,11,4
AGOT02,12,2
AGOT02,13,5
AGOT02,14,5
AGOT02,15,5
AGOT02,16,6
AGOT02,17,5
AGOT02,18,7
AGOT02,19,5
AGOT02,20,5
AGOT02,21,1
AGOT02,22,4
AGOT02,23,5
AGOT02,24,5
AGOT02,25,5
AGOT02,26,6
AGOT02,27,5
AGOT02,28,4
AGOT02,29,5
AGOT02,30,5
AGOT02,31,1
AGOT03,3,4
AGOT03,4,5
AGOT03,5,5
AGOT03,6,4
AGOT03,7,4
AGOT03,8,3
AGOT03,9,5
AGOT03,10,4
AGOT03,11,4
AGOT03,12,3
AGOT03,13,5
AGOT03,14,7
AGOT03,15,4
AGOT03,16,1
AGOT03,17,5
AGOT03,18,6
AGOT03,19,3
AGOT03,20,5
AGOT03,21,5
AGOT03,22,5
AGOT03,23,6
AGOT03,24,1
AGOT03,25,4
AGOT03,26,4
AGOT03,27,5
AGOT03,28,6
AGOT03,29,5
AGOT03,30,5
AGOT03,31,5
AGOT04,3,4
AGOT04,4,5
AGOT04,5,6
AGOT04,6,6
AGOT04,7,6
AGOT04,8,6
AGOT04,9,6
AGOT04,10,4
AGOT04,11,5
AGOT04,12,5
AGOT04,13,6
AGOT04,14,4
AGOT04,15,3
AGOT04,16,5
AGOT04,17,5
AGOT04,18,6
AGOT04,19,6
AGOT04,20,4
AGOT04,21,6
AGOT04,22,6
AGOT04,23,6
AGOT04,24,5
AGOT04,25,4
AGOT04,26,5
AGOT04,27,3
AGOT04,28,6
