"x" "y"
"2 archers blancs_9.29.5" -1794.5053921171 -849.070641702334
"2 archers bruns_9.29.2" -1766.76103440002 -890.941924379123
"2 archers mauves_9.29.3" -1741.92423081855 -857.602161820937
"2 archers rouges_9.29.4" -1676.75602090828 -866.096731075279
"2 archers verts_9.29.1" -1764.14925451837 -815.030990350821
"2 berserkers_J4.27" 850.399634184667 -2469.82538133863
"2 berserkers_J4.30" -631.713666294464 638.056031020642
"2 brigands_14.41" 342.142234658124 -1017.44357332559
"2 bucherons_30.42" -851.23866448948 -3030.16638881479
"2 dieux_30.44" -574.60984183166 -2525.12179262276
"2 garçons_L1.3" 685.497296164383 -1047.50728464341
"2 garçons_L1.42" 388.407455533962 -1839.7351422082
"2 gardes_13.16" -453.408896434201 -1624.79342178799
"2 gardes_21.27" 240.354323543162 -2748.52236510014
"2 gardes_26.22" -482.9644135224 -787.76738223455
"2 gardes_26.24" -1177.44909634195 -922.23293648476
"2 gardes_26.32" -1160.17522943187 -1011.71142007103
"2 gardes_26.35" -655.851737508241 -1009.02142708922
"2 gardes_3.8.1" -791.64160924204 -146.549719450822
"2 gardes_3.8.2" -873.080147704316 -132.935804772593
"2 gardes_34.31" -2862.71586748989 -1421.63989739363
"2 gardes_35.15" -2425.91630898118 -1547.5146201432
"2 gardes_6.3" 273.210378071419 -436.632243336996
"2 gardes_J4.43" 64.1256802606381 312.81841311109
"2 gardes_J5.14" 80.3104430850094 -143.676192536579
"2 gardes_K1.19" -1897.06304415119 -1720.24092874554
"2 gardes_K1.50" -2617.17015862212 -1245.98827682994
"2 gardes_K1.51" -2599.60977891736 -1182.58821786998
"2 guerriers_4.11.3" -1070.41205851616 -53.5537938780535
"2 guerriers_J4.40" -395.605541618958 69.4996698486393
"2 guerriers_J4.41" -604.80441170134 158.105937524476
"2 hommes_39.11" -398.887435233662 -1032.00449528333
"2 jeunes vikings_14.24" -767.261736560534 -19.2011145914844
"2 jeunes vikings_J1.10" 257.900315341197 596.864707740265
"2 mages rouges_34.3" -2122.08869626607 -1513.65685622519
"2 marchands_39.13" 745.939199622188 -1455.81763013297
"2 nixes_14.4" -943.090444398807 116.669631136665
"2 nobles_28.6" -741.771323021364 -1662.10865239961
"2 servantes_11.6" -1607.74972201762 -209.735805976072
"2 serviteurs Arlac d'Auxaterra_31.10" -586.678212451263 -2152.25448533222
"2 serviteurs Arlac_31.10" -616.441362751389 -2065.14037542146
"2 serviteurs Draye_31.10" -568.090790110557 -2085.68764399549
"2 serviteurs Ingvild_31.10" -630.698569248304 -2107.72888100058
"2 serviteurs Xia_31.10" -664.210688141875 -2073.47446052133
"2 serviteurs_30.48" -28.8772651841646 -2146.46192343204
"2 Skraëlings_40.21" -1585.20367872833 375.725294941839
"2 Slugs_40.40" -1526.32080773497 394.312988362956
"2 soldats_23.8" -1657.83217545444 40.9383453515952
"2 soldats_33.43" -3045.5758848914 -1176.50617876363
"2 soldats_39.13" 735.803584321545 -1509.05711278986
"2 soldats_K1.33" -2925.64736243828 -917.770224250987
"2 vikings_14.27" -777.242893450743 86.2794736417541
"2 vikings_33.31" -2412.75717785299 -579.612279338913
"2 vikings_J6.5" 90.3636966876584 -4.31941987672872
"2 villageoises_11.13" -821.446557015735 -1696.22852832525
"2 voleurs_12.8" -2773.32634204837 45.3305381809018
"2 walkyries_K2.5" -2311.419402677 -2166.40037367611
"3 bandits_10.3" -965.551333043505 -1468.79356268781
"3 bienveillants" -992.442387539155 -565.830190004229
"3 cavaliers_15.19" -1760.41741841554 190.68404343712
"3 cavaliers_18.29" -1863.49649302562 435.834456407478
"3 esclaves_27.12" -2920.00319217149 548.963297750837
"3 gardes_K1.37" -2961.32018220164 -405.365276875606
"3 gardes_K1.39" -2697.74739346138 -1591.14918367374
"3 guerriers_10.35" -608.597027642078 -1645.2767014262
"3 guerriers_4.23" -1458.53472424138 210.033858241383
"3 guerriers_J4.34" 74.2137791970545 245.377865082269
"3 malfrats_34.18" -2031.47172520207 -1535.07908688639
"3 mégères_L2.46" 597.982913961529 -504.78575920309
"3 soldats_18.8" -1923.0084299005 250.237209735063
"3 vikings_J3.29.1" -548.556788595467 -3344.2694973315
"3 vikings_J3.29.2" -628.319945999674 -3350.07014687306
